model_id,units,dropout,num_layers,bidirectional,lr,batch_size,epochs,patience,test_mae,test_mse
208,64,0.3,3,False,0.001,64,25,25,0.2013113796710968,0.06609490513801575
209,64,0.3,3,False,0.001,128,25,25,0.2532093822956085,0.09899447858333588
210,64,0.3,3,True,1e-05,64,25,25,2.034097194671631,0.057736776769161224
211,64,0.3,3,True,1e-05,128,25,25,2.0332190990448,0.06777975708246231
212,64,0.3,3,True,0.0001,64,25,25,0.18396183848381042,0.036539942026138306
213,64,0.3,3,True,0.0001,128,25,25,0.20345963537693024,0.04404139518737793
214,64,0.3,3,True,0.001,64,25,25,0.14710170030593872,0.03195004165172577
215,64,0.3,3,True,0.001,128,25,25,0.1411183774471283,0.027757475152611732
216,128,0.1,1,False,1e-05,64,25,25,0.4024776220321655,0.2078600525856018
217,128,0.1,1,False,1e-05,128,25,25,0.4782766103744507,0.2963808476924896
218,128,0.1,1,False,0.0001,64,25,25,0.24254803359508514,0.08464757353067398
219,128,0.1,1,False,0.0001,128,25,25,0.38621824979782104,0.21533986926078796
220,128,0.1,1,False,0.001,64,25,25,0.4604874551296234,0.40530481934547424
221,128,0.1,1,False,0.001,128,25,25,0.4979800879955292,0.47693702578544617
222,128,0.1,1,True,1e-05,64,25,25,0.46309930086135864,0.21504636108875275
223,128,0.1,1,True,1e-05,128,25,25,0.6634425520896912,0.4347383677959442
224,128,0.1,1,True,0.0001,64,25,25,0.27475449442863464,0.10287797451019287
225,128,0.1,1,True,0.0001,128,25,25,0.21043860912322998,0.06335727870464325
226,128,0.1,1,True,0.001,64,25,25,0.30984073877334595,0.1731960028409958
227,128,0.1,1,True,0.001,128,25,25,0.26488104462623596,0.12644100189208984
228,128,0.1,2,False,1e-05,64,25,25,1.4808915853500366,0.11471151560544968
229,128,0.1,2,False,1e-05,128,25,25,1.5611157417297363,0.2009257674217224
230,128,0.1,2,False,0.0001,64,25,25,0.18687832355499268,0.04965362697839737
231,128,0.1,2,False,0.0001,128,25,25,0.15609419345855713,0.02997596561908722
232,128,0.1,2,False,0.001,64,25,25,0.2666356563568115,0.11997191607952118
233,128,0.1,2,False,0.001,128,25,25,0.28626108169555664,0.1378658562898636
234,128,0.1,2,True,1e-05,64,25,25,2.2278552055358887,0.18119628727436066
235,128,0.1,2,True,1e-05,128,25,25,2.089848756790161,0.08181050419807434
236,128,0.1,2,True,0.0001,64,25,25,0.17746247351169586,0.03758224844932556
237,128,0.1,2,True,0.0001,128,25,25,0.19328613579273224,0.046537816524505615
238,128,0.1,2,True,0.001,64,25,25,0.14819049835205078,0.03482884541153908
239,128,0.1,2,True,0.001,128,25,25,0.15904296934604645,0.04093785956501961
240,128,0.1,3,False,1e-05,64,25,25,2.4332644939422607,0.045765675604343414
241,128,0.1,3,False,1e-05,128,25,25,2.4268689155578613,0.048190515488386154
242,128,0.1,3,False,0.0001,64,25,25,0.1658099889755249,0.032805684953927994
243,128,0.1,3,False,0.0001,128,25,25,0.16885317862033844,0.03723530098795891
244,128,0.1,3,False,0.001,64,25,25,0.3192111551761627,0.16998088359832764
245,128,0.1,3,False,0.001,128,25,25,0.22393478453159332,0.07942903786897659
246,128,0.1,3,True,1e-05,64,25,25,3.1714565753936768,0.08696061372756958
247,128,0.1,3,True,1e-05,128,25,25,3.1235461235046387,0.055945128202438354
248,128,0.1,3,True,0.0001,64,25,25,0.1681203693151474,0.03402436152100563
249,128,0.1,3,True,0.0001,128,25,25,0.17590871453285217,0.03762068226933479
250,128,0.1,3,True,0.001,64,25,25,0.14134711027145386,0.02782588265836239
251,128,0.1,3,True,0.001,128,25,25,0.13782620429992676,0.02654203027486801
252,128,0.2,1,False,1e-05,64,25,25,0.813459575176239,0.6849415898323059
253,128,0.2,1,False,1e-05,128,25,25,1.1061558723449707,1.2759978771209717
254,128,0.2,1,False,0.0001,64,25,25,0.2451229840517044,0.1004437804222107
255,128,0.2,1,False,0.0001,128,25,25,0.401645302772522,0.25191229581832886
256,128,0.2,1,False,0.001,64,25,25,0.4405919909477234,0.36008092761039734
257,128,0.2,1,False,0.001,128,25,25,0.5732086896896362,0.6413367986679077
258,128,0.2,1,True,1e-05,64,25,25,0.4317578077316284,0.17685498297214508
259,128,0.2,1,True,1e-05,128,25,25,0.813796877861023,0.65453040599823
260,128,0.2,1,True,0.0001,64,25,25,0.16212545335292816,0.03421442583203316
261,128,0.2,1,True,0.0001,128,25,25,0.15976683795452118,0.03414863720536232
262,128,0.2,1,True,0.001,64,25,25,0.3847547769546509,0.2807348966598511
263,128,0.2,1,True,0.001,128,25,25,0.28533613681793213,0.1436096429824829
264,128,0.2,2,False,1e-05,64,25,25,1.3669620752334595,0.057014595717191696
265,128,0.2,2,False,1e-05,128,25,25,1.4081664085388184,0.08387458324432373
266,128,0.2,2,False,0.0001,64,25,25,0.15011362731456757,0.03016475960612297
267,128,0.2,2,False,0.0001,128,25,25,0.1489938646554947,0.028628654778003693
268,128,0.2,2,False,0.001,64,25,25,0.3095047175884247,0.16382144391536713
269,128,0.2,2,False,0.001,128,25,25,0.23796790838241577,0.09443582594394684
270,128,0.2,2,True,1e-05,64,25,25,2.0497093200683594,0.05591367185115814
