cycle_index,True SOC,SOC cell,Pred. SOC
61,0.34499046,0.297066861,0.42137265
61,0.344744283,0.296813248,0.42091233
61,0.344498462,0.296781555,0.4210488
61,0.344252466,0.296338061,0.4214194
61,0.344006297,0.296021514,0.4217255
61,0.343760483,0.295483835,0.4219023
61,0.343514319,0.295136227,0.42187065
61,0.343268334,0.294915146,0.4216162
61,0.343022352,0.295262603,0.42124194
61,0.342776195,0.294788858,0.42083424
61,0.342530218,0.293811187,0.4204636
61,0.342284067,0.294000266,0.42020738
61,0.342037742,0.294063308,0.42011803
61,0.341791772,0.294126358,0.42022455
61,0.341545452,0.293905718,0.42054242
61,0.341299311,0.293590685,0.4210377
61,0.341052996,0.292583909,0.4276161
61,0.340806861,0.292332532,0.42775232
61,0.340560551,0.293118507,0.42530662
61,0.340314421,0.292175485,0.42317832
61,0.345482293,0.297193715,0.4217642
61,0.345728301,0.297161998,0.4213038
61,0.345974312,0.297098572,0.42143148
61,0.346220325,0.297860208,0.42175296
61,0.351627448,0.301973177,0.4220897
61,0.351381731,0.30194117,0.42226684
61,0.351136193,0.301173574,0.42220137
61,0.350890481,0.30181316,0.42195398
61,0.350644772,0.301557233,0.4215914
61,0.350399242,0.301269463,0.42118222
61,0.350153537,0.300949902,0.4208144
61,0.349907836,0.300662462,0.42055953
61,0.349662137,0.300630533,0.42047018
61,0.34941644,0.300407091,0.4205873
61,0.340068116,0.292395364,0.4209029
61,0.34917057,0.300343267,0.42142242
61,0.348679013,0.299737331,0.42771256
61,0.348433327,0.299801081,0.42786747
61,0.348187467,0.299259455,0.4254253
61,0.347941786,0.298813832,0.42330438
61,0.347695754,0.298336801,0.4218856
61,0.347450078,0.297415783,0.42141366
61,0.347204052,0.298019023,0.4214902
61,0.346958205,0.29773319,0.42183962
61,0.346712183,0.297796695,0.42217404
61,0.346466341,0.297891967,0.42231417
61,0.348924878,0.299992377,0.4222522
61,0.352118714,0.30194117,0.42201275
61,0.339821991,0.291987095,0.42164516
61,0.339329218,0.290983552,0.42123577
61,0.332672777,0.28537673,0.42086697
61,0.332426024,0.285717503,0.4206108
61,0.332179273,0.28537673,0.42053184
61,0.331932525,0.284448593,0.4206478
61,0.331685779,0.284108732,0.4209901
61,0.331439036,0.284108732,0.42148036
61,0.331192119,0.284263184,0.42760122
61,0.330945205,0.284170507,0.42773944
61,0.330698294,0.283954331,0.4252944
61,0.330451385,0.283769116,0.4231599
61,0.330204655,0.283522276,0.42172176
61,0.329957751,0.283491431,0.42119372
61,0.32971085,0.283522276,0.42129424
61,0.329463951,0.283121439,0.42163876
61,0.329217055,0.283059802,0.4219336
61,0.328969985,0.282259263,0.42207435
61,0.328723095,0.281920987,0.42201704
61,0.32847603,0.281798039,0.42176914
61,0.328228968,0.281153095,0.42139786
61,0.327981909,0.281061034,0.42098415
61,0.327734852,0.280907639,0.42061126
61,0.332919533,0.285624541,0.4203635
61,0.333166292,0.285996498,0.42028248
61,0.333412876,0.28587248,0.42042547
61,0.333659464,0.286213607,0.42074046
61,0.339083101,0.290764299,0.42123824
61,0.338836633,0.290482545,0.42741132
61,0.338590344,0.28988826,0.42752883
61,0.338344058,0.289294695,0.4250641
61,0.338097597,0.289482059,0.4229088
61,0.33785114,0.289201041,0.4214102
61,0.337604508,0.289138614,0.42090234
61,0.337358056,0.288920184,0.42099592
61,0.337111606,0.289138614,0.42129982
61,0.336865159,0.288857793,0.42159438
61,0.339575691,0.292049884,0.4217391
